node_id,node_type,label,score
PRODUCT:5005,PRODUCT,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON,0.007357
PRODUCT:5004,PRODUCT,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,0.00613
PRODUCT:5066,PRODUCT,PISETA 500 ML,0.005793
PRODUCT:5007,PRODUCT,TAPA DISPENSADOR BLANCOTAPA DISPENSADORA BLANCO B28MM,0.005607
PRODUCT:5245,PRODUCT,FRASCO VIDRIO TRANSPARENTE 20ML C/TAPA BAQUELITA N24 Y LAINA SILICONA,0.005279
PRODUCT:5001,PRODUCT,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,0.004937
PRODUCT:5064,PRODUCT,GATILLO PULVERIZADOR 28/410,0.004626
PRODUCT:5036,PRODUCT,FRASCO PLASTICO NATURAL 500ML CON TAPON Y TAPA N28FRASCO PLASTICO NATURAL 500ML CON TAPON Y TAPA B28MM,0.004527
PRODUCT:5074,PRODUCT,FRASCO BULLET 100ML CON TAPA ATOMIZADOR,0.004492
PRODUCT:5037,PRODUCT,FRASCO PLASTICO NATURAL 1LT CON TAPA Y TAPON N28FRASCO PLASTICO NATURAL 1LT CON TAPA Y TAPON N28,0.004023
PRODUCT:5122,PRODUCT,POTE ACRILICO 10GR C/TAPA ROSCA,0.003775
PRODUCT:5065,PRODUCT,PISETA 250ML,0.003758
PRODUCT:6,PRODUCT,MATERIAL MEDICO,0.003674
PRODUCT:5478,PRODUCT,FRASCO CILINDRO PET TRANSPARENTE 250ML B28 SIN TAPA,0.003614
PRODUCT:5168,PRODUCT,POTE CREMERO VIDRIO AMBAR 100GR C/TAPA NEGRA Y LAINA,0.003559
