supplier,purchase_lines,total_value,line_share,value_share,alert
ENVIPLAST E.I.R.L.,705,56133.91,0.3701,0.2718,MEDIA
COMERCIAL FERRETERA SARASARA S.A.C.,213,39010.95,0.1118,0.1889,MEDIA
INVERSIONES AGO S.A.C.,69,23296.31,0.0362,0.1128,ok
CORPORACION PROMELAB E.I.R.L.,476,21017.2,0.2499,0.1018,ok
ESNA MEDIC INVERSIONES S.A.C.,108,14180.0,0.0567,0.0687,ok
GENPLAST S.A.C.,20,10920.1,0.0105,0.0529,ok
MULTIGLASS & PLASTIC E.I.R.L.,15,8887.5,0.0079,0.043,ok
MATRAZ PERU E.I.R.L.,41,8433.38,0.0215,0.0408,ok
ENVASES DEL PERU WILDOR EIRL,46,8427.36,0.0241,0.0408,ok
IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,27,6211.4400000000005,0.0142,0.0301,ok
BIO CHEMICALSS S.A.C.,31,2535.0,0.0163,0.0123,ok
IMPORTADORA ANDINA E.I.R.L,40,2133.71,0.021,0.0103,ok
VIPLASTIC S.A.C.,18,1270.0,0.0094,0.0061,ok
QUESITO SA,56,1003.0,0.0294,0.0049,ok
SANDOVAL SANTISTEBAN JOSE DEL CARMEN,1,640.0,0.0005,0.0031,ok
NEGOCIACIONES MANTARI E.I.R.L.,12,402.5,0.0063,0.0019,ok
RIVERA BAILON CIRO FELIX,7,317.0,0.0037,0.0015,ok
VARIOS,3,236.0,0.0016,0.0011,ok
RINCON CERVECERO S.A.,1,233.4,0.0005,0.0011,ok
VELARDE FLORES JENNY CARMEN,1,181.72,0.0005,0.0009,ok
GRUPO EL TRIDENTE S.A.C.,1,181.5,0.0005,0.0009,ok
MULTI SALUX E.I.R.L.,2,170.0,0.001,0.0008,ok
CRISTOFER IMPORT EIRL,3,145.99,0.0016,0.0007,ok
INVERSIONES GASTRONOMICAS GAMALMA E.I.R.L.,1,120.0,0.0005,0.0006,ok
GRIT LABS S.A.C.,2,116.3,0.001,0.0006,ok
DIMMED S.A.C.,2,104.0,0.001,0.0005,ok
GRUPO CARLITOS SOCIEDAD ANONIMA CERRADA - GRUPO CARLITOS S.A.C.,1,76.0,0.0005,0.0004,ok
BOTICA IRSA MEDICAL S.A.C.,1,75.0,0.0005,0.0004,ok
REPRESENTACIONES MARCOS SOCIEDAD ANONIMA CERRADA,1,35.0,0.0005,0.0002,ok
SHALOM EMPRESARIAL S.A.C.,1,20.0,0.0005,0.0001,ok
